ref_conv,gen_conv
{'scores': [0.5264108777046204]},{'scores': [0.5418635010719299]}
{'scores': [0.5654188394546509]},{'scores': [0.5435041189193726]}
{'scores': [0.5736064314842224]},{'scores': [0.5669224262237549]}
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
9999,9999
